ID,Category,Nr,V/H,Description,Valence,Arousal,Width,Height,Luminance,Contrast
Faces_300_h,Faces,300,h,Elderly Man,3.53,6.07,1600,1200,201.35,78.12
Faces_330_v,Faces,330,v,People Showering,7.0,4.68,1200,1600,71.58,41.75
Faces_345_h,Faces,345,h,Men Smiling,7.3,4.22,1600,1200,76.7,64.51
Faces_362_v,Faces,362,v,Mutilated Face,2.53,6.89,1200,1600,118.41,46.04
Faces_363_v,Faces,363,v,Mutilated Face,2.77,6.27,1200,1600,138.31,71.66
Faces_364_v,Faces,364,v,Mutilated Face,1.76,7.69,1200,1600,139.91,65.68
Faces_365_v,Faces,365,v,Mutilated Face,1.98,7.1,1200,1600,125.89,43.04
Faces_366_h,Faces,366,h,Mutilated Face,2.11,7.07,1600,1200,119.62,82.72
Faces_367_h,Faces,367,h,Mutilated Face,1.65,7.6,1600,1200,117.95,73.62
Faces_368_h,Faces,368,h,Mutilated Face,2.79,6.66,1600,1200,110.36,82.3
Faces_369_v,Faces,369,v,Mutilated Face,3.52,6.18,1200,1600,113.3,71.55
Faces_371_v,Faces,371,v,Mutilated Face,1.73,7.56,1200,1600,90.14,57.76
Landscapes_001_h,Landscapes,1,h,Concentration Camp,3.64,5.52,1600,1200,161.51,81.55
Landscapes_002_h,Landscapes,2,h,Concentration Camp,2.8,6.44,1600,1200,143.53,70.58
Objects_001_h,Objects,1,h,Burning Car,2.72,7.15,1600,1200,121.56,61.22
Objects_005_h,Objects,5,h,Fish,4.06,5.73,1600,1200,93.19,58.04
Objects_006_h,Objects,6,h,Meat,3.37,6.15,1600,1200,70.97,49.08
Objects_007_h,Objects,7,h,Meat,2.98,6.24,1600,1200,157.72,63.34
Objects_012_h,Objects,12,h,Meat,3.86,5.69,1600,1200,100.9,65.02
Objects_013_h,Objects,13,h,Meat,3.47,6.27,1600,1200,104.69,70.47
Objects_015_v,Objects,15,v,Meat,4.53,5.65,1200,1600,112.75,52.03
Objects_017_v,Objects,17,v,Meat,4.0,5.88,1200,1600,76.91,55.48
Objects_018_h,Objects,18,h,Meat,4.06,5.82,1600,1200,102.36,61.0
Objects_019_h,Objects,19,h,Meat,4.47,5.78,1600,1200,84.4,57.69
Objects_021_v,Objects,21,v,Meat,3.6,6.2,1200,1600,100.51,72.47
Objects_023_v,Objects,23,v,Meat,3.72,6.1,1200,1600,98.5,72.21
Objects_027_h,Objects,27,h,Sausages,5.7,5.33,1600,1200,92.94,61.21
Objects_055_v,Objects,55,v,Beer,5.89,4.62,1200,1600,54.75,70.02
Objects_087_h,Objects,87,h,Durian,5.86,4.71,1600,1200,112.46,61.59
Objects_098_v,Objects,98,v,Carrots,6.79,4.04,1200,1600,120.81,48.56
Objects_103_h,Objects,103,h,French Fries,6.86,4.88,1600,1200,122.42,60.99
Objects_105_h,Objects,105,h,Knives,4.44,6.2,1600,1200,107.25,65.43
Objects_115_h,Objects,115,h,Coal,4.74,5.04,1600,1200,106.57,67.45
Objects_118_v,Objects,118,v,Handcuffs,4.2,5.77,1200,1600,122.24,75.49
Objects_119_h,Objects,119,h,Knife,5.04,5.52,1600,1200,187.96,49.77
Objects_121_v,Objects,121,v,Toilet,3.04,6.44,1200,1600,162.37,75.95
Objects_126_h,Objects,126,h,Glass,3.28,6.24,1600,1200,46.66,72.28
