ID,Category,Valence,Arousal
Landscapes_129_v,Landscapes,5.82,4.83
Landscapes_130_h,Landscapes,5.66,4.22
Landscapes_131_h,Landscapes,7.32,2.53
Landscapes_132_h,Landscapes,7.87,3.31
Landscapes_133_h,Landscapes,7.3,3.59
Landscapes_134_h,Landscapes,7.66,3.9
Landscapes_135_h,Landscapes,5.58,4.27
Landscapes_136_h,Landscapes,6.29,4.29
Landscapes_137_h,Landscapes,7.61,2.92
Landscapes_138_h,Landscapes,7.68,3.47
Landscapes_139_h,Landscapes,2.43,6.44
Landscapes_140_v,Landscapes,7.89,3.94
Landscapes_141_h,Landscapes,8.04,2.2
Landscapes_142_h,Landscapes,7.67,3.85
Landscapes_143_h,Landscapes,7.02,3.91
Landscapes_144_h,Landscapes,5.73,4.61
Landscapes_145_h,Landscapes,6.56,4.4
Landscapes_146_h,Landscapes,7.56,3.16
Landscapes_147_h,Landscapes,7.39,3.12
Landscapes_148_h,Landscapes,7.28,3.08
Landscapes_149_h,Landscapes,6.96,3.76
Landscapes_150_v,Landscapes,6.86,3.76
Landscapes_151_h,Landscapes,7.48,3.43
Landscapes_152_h,Landscapes,7.52,3.66
Landscapes_153_h,Landscapes,7.46,2.98
Landscapes_154_h,Landscapes,8.27,3.27
Landscapes_155_h,Landscapes,6.44,4.26
Landscapes_156_h,Landscapes,4.19,5.36
Landscapes_157_h,Landscapes,7.73,3.56
Landscapes_158_h,Landscapes,7.39,2.72
Landscapes_159_h,Landscapes,4.7,4.88
Landscapes_160_v,Landscapes,6.6,3.49
Landscapes_161_h,Landscapes,7.58,4.08
Landscapes_162_h,Landscapes,7.27,3.52
Landscapes_163_h,Landscapes,7.02,3.02
Landscapes_164_h,Landscapes,7.33,3.1
Landscapes_165_h,Landscapes,8.22,2.57
Landscapes_166_h,Landscapes,7.56,3.58
Landscapes_167_h,Landscapes,7.53,3.2
Landscapes_168_h,Landscapes,7.94,2.5
Landscapes_169_h,Landscapes,6.34,3.61
Landscapes_170_h,Landscapes,4.84,5.23
Landscapes_171_v,Landscapes,7.29,3.6
