trial,ID,filename,Valence,Category,val_bin,condition
1,Animals_075_h,Animals_075_h.jpg,3.04,Animals,4-Mar,FEEL
2,Objects_181_h,Objects_181_h.jpg,4.34,Objects,5-Apr,FEEL
3,Objects_323_h,Objects_323_h.jpg,6.96,Objects,7-Jun,FEEL
4,Landscapes_093_h,Landscapes_093_h.jpg,5.41,Landscapes,6-May,FEEL
5,Objects_286_h,Objects_286_h.jpg,4.33,Objects,5-Apr,TONE
6,Animals_027_h,Animals_027_h.jpg,2.55,Animals,3-Feb,TONE
7,People_142_h,People_142_h.jpg,2.85,People,3-Feb,FEEL
8,Objects_161_v,Objects_161_v.jpg,5.44,Objects,6-May,TONE
9,1240,1240.jpg,8.21,Spider,9-Aug,TONE
10,Faces_029_h,Faces_029_h.jpg,4.55,Faces,5-Apr,TONE
11,Faces_283_h,Faces_283_h.jpg,2.48,Faces,3-Feb,FEEL
12,Objects_285_h,Objects_285_h.jpg,2.73,Objects,3-Feb,FEEL
13,People_130_h,People_130_h.jpg,7.17,People,8-Jul,FEEL
14,People_071_h,People_071_h.jpg,3.35,People,4-Mar,FEEL
15,Objects_133_h,Objects_133_h.jpg,4.15,Objects,5-Apr,TONE
16,Landscapes_113_h,Landscapes_113_h.jpg,7.67,Landscapes,8-Jul,TONE
17,1463,1463.jpg,8.09,Kittens,9-Aug,FEEL
18,Landscapes_012_h,Landscapes_012_h.jpg,4.4,Landscapes,5-Apr,FEEL
19,1310,1310.jpg,8.17,Leopard,9-Aug,FEEL
20,1525,1525.jpg,8.05,AttackDog,9-Aug,TONE
21,Objects_045_h,Objects_045_h.jpg,4.8,Objects,5-Apr,TONE
22,Animals_091_h,Animals_091_h.jpg,6.56,Animals,7-Jun,FEEL
23,Landscapes_089_h,Landscapes_089_h.jpg,6.62,Landscapes,7-Jun,TONE
24,Landscapes_087_h,Landscapes_087_h.jpg,6.17,Landscapes,7-Jun,FEEL
25,Objects_322_h,Objects_322_h.jpg,6.42,Objects,7-Jun,TONE
26,Objects_284_h,Objects_284_h.jpg,3.77,Objects,4-Mar,TONE
27,People_134_h,People_134_h.jpg,3.8,People,4-Mar,FEEL
28,Faces_220_h,Faces_220_h.jpg,4.73,Faces,5-Apr,FEEL
29,People_215_h,People_215_h.jpg,2.59,People,3-Feb,FEEL
30,Objects_240_h,Objects_240_h.jpg,6.37,Objects,7-Jun,FEEL
31,People_036_h,People_036_h.jpg,4.77,People,5-Apr,FEEL
32,Landscapes_047_v,Landscapes_047_v.jpg,6.49,Landscapes,7-Jun,FEEL
33,Faces_145_v,Faces_145_v.jpg,2.29,Faces,3-Feb,FEEL
34,Objects_117_h,Objects_117_h.jpg,3.64,Objects,4-Mar,TONE
35,1540,1540.jpg,8.04,Cat,9-Aug,TONE
36,1220,1220.jpg,8.24,Spider,9-Aug,FEEL
37,Landscapes_103_v,Landscapes_103_v.jpg,7.83,Landscapes,8-Jul,FEEL
38,Faces_352_h,Faces_352_h.jpg,7.17,Faces,8-Jul,TONE
39,Faces_227_v,Faces_227_v.jpg,7.25,Faces,8-Jul,TONE
40,People_211_v,People_211_v.jpg,1.88,People,2-Jan,TONE
41,Faces_090_v,Faces_090_v.jpg,6.41,Faces,7-Jun,TONE
42,Objects_219_h,Objects_219_h.jpg,5.92,Objects,6-May,TONE
43,People_220_h,People_220_h.jpg,1.98,People,2-Jan,FEEL
44,Landscapes_114_v,Landscapes_114_v.jpg,7.21,Landscapes,8-Jul,TONE
45,Objects_328_h,Objects_328_h.jpg,3.78,Objects,4-Mar,FEEL
46,Faces_166_h,Faces_166_h.jpg,4.72,Faces,5-Apr,FEEL
47,1201,1201.jpg,8.31,Spider,9-Aug,TONE
48,Landscapes_017_h,Landscapes_017_h.jpg,3.21,Landscapes,4-Mar,TONE
49,Objects_172_v,Objects_172_v.jpg,5.31,Objects,6-May,TONE
50,People_093_h,People_093_h.jpg,6.17,People,7-Jun,TONE
51,1205,1205.jpg,8.29,Spider,9-Aug,FEEL
52,Faces_167_v,Faces_167_v.jpg,4.84,Faces,5-Apr,FEEL
53,Faces_151_v,Faces_151_v.jpg,3.14,Faces,4-Mar,FEEL
54,Faces_018_h,Faces_018_h.jpg,2.41,Faces,3-Feb,TONE
55,Faces_048_h,Faces_048_h.jpg,5.64,Faces,6-May,FEEL
56,People_082_h,People_082_h.jpg,3,People,3-Feb,TONE
57,Landscapes_111_h,Landscapes_111_h.jpg,5.48,Landscapes,6-May,TONE
58,Faces_032_h,Faces_032_h.jpg,2.63,Faces,3-Feb,TONE
59,Faces_331_h,Faces_331_h.jpg,6.6,Faces,7-Jun,TONE
60,People_149_h,People_149_h.jpg,5.49,People,6-May,FEEL
61,Animals_059_h,Animals_059_h.jpg,4.52,Animals,5-Apr,FEEL
62,Objects_229_h,Objects_229_h.jpg,3.9,Objects,4-Mar,FEEL
63,Faces_076_h,Faces_076_h.jpg,6.92,Faces,7-Jun,TONE
64,Faces_171_v,Faces_171_v.jpg,4.75,Faces,5-Apr,FEEL
65,Faces_187_v,Faces_187_v.jpg,5.25,Faces,6-May,FEEL
66,Objects_001_h,Objects_001_h.jpg,2.72,Objects,3-Feb,FEEL
67,Faces_148_h,Faces_148_h.jpg,3.71,Faces,4-Mar,TONE
68,1460,1460.jpg,8.09,Kitten,9-Aug,FEEL
69,Faces_174_h,Faces_174_h.jpg,2.59,Faces,3-Feb,FEEL
70,Objects_226_h,Objects_226_h.jpg,4.98,Objects,5-Apr,TONE
71,Objects_201_v,Objects_201_v.jpg,6,Objects,6-May,FEEL
72,Objects_294_h,Objects_294_h.jpg,5.94,Objects,6-May,TONE
73,1270,1270.jpg,8.21,Roach,9-Aug,TONE
74,People_208_h,People_208_h.jpg,1.85,People,2-Jan,TONE
75,Animals_077_h,Animals_077_h.jpg,2.02,Animals,3-Feb,FEEL
76,Animals_083_h,Animals_083_h.jpg,5.23,Animals,6-May,TONE
77,Landscapes_128_h,Landscapes_128_h.jpg,7.42,Landscapes,8-Jul,TONE
78,Faces_175_v,Faces_175_v.jpg,3.54,Faces,4-Mar,TONE
79,Faces_356_h,Faces_356_h.jpg,7.65,Faces,8-Jul,FEEL
80,Faces_038_h,Faces_038_h.jpg,4.28,Faces,5-Apr,TONE
81,Objects_019_h,Objects_019_h.jpg,4.47,Objects,5-Apr,TONE
82,1114,1114.jpg,8.38,Snake,9-Aug,FEEL
83,Animals_033_h,Animals_033_h.jpg,2.41,Animals,3-Feb,TONE
84,Faces_106_h,Faces_106_h.jpg,7.35,Faces,8-Jul,FEEL
85,Landscapes_134_h,Landscapes_134_h.jpg,7.66,Landscapes,8-Jul,FEEL
86,Objects_185_h,Objects_185_h.jpg,5.18,Objects,6-May,TONE
87,Objects_319_h,Objects_319_h.jpg,6.24,Objects,7-Jun,FEEL
88,People_031_v,People_031_v.jpg,2.28,People,3-Feb,TONE
89,Landscapes_014_h,Landscapes_014_h.jpg,3.33,Landscapes,4-Mar,TONE
90,People_096_h,People_096_h.jpg,7.78,People,8-Jul,TONE
91,Animals_185_h,Animals_185_h.jpg,6.94,Animals,7-Jun,FEEL
92,Objects_040_v,Objects_040_v.jpg,6.98,Objects,7-Jun,TONE
93,Landscapes_147_h,Landscapes_147_h.jpg,7.39,Landscapes,8-Jul,FEEL
94,Faces_269_v,Faces_269_v.jpg,3.53,Faces,4-Mar,TONE
95,Objects_157_h,Objects_157_h.jpg,2.93,Objects,3-Feb,TONE
96,9912,9912.jpg,1.94,Firefighter,2-Jan,FEEL
97,Faces_225_v,Faces_225_v.jpg,5.51,Faces,6-May,FEEL
98,Faces_361_v,Faces_361_v.jpg,7.09,Faces,8-Jul,TONE
99,Faces_355_h,Faces_355_h.jpg,6.08,Faces,7-Jun,FEEL
100,Objects_279_h,Objects_279_h.jpg,5.43,Objects,6-May,TONE
101,Faces_333_h,Faces_333_h.jpg,7.02,Faces,8-Jul,FEEL
102,People_015_h,People_015_h.jpg,3.77,People,4-Mar,FEEL
103,Objects_047_h,Objects_047_h.jpg,5.82,Objects,6-May,FEEL
104,Objects_141_h,Objects_141_h.jpg,3.54,Objects,4-Mar,FEEL
105,1110,1110.jpg,8.42,Snake,9-Aug,TONE
106,Animals_097_h,Animals_097_h.jpg,6.48,Animals,7-Jun,TONE
107,Landscapes_094_h,Landscapes_094_h.jpg,7.06,Landscapes,8-Jul,TONE
108,9909,9909.jpg,1.97,BurningCar,2-Jan,TONE
109,Landscapes_076_h,Landscapes_076_h.jpg,5.06,Landscapes,6-May,FEEL
110,Faces_204_v,Faces_204_v.jpg,4.23,Faces,5-Apr,TONE
111,Landscapes_025_h,Landscapes_025_h.jpg,3.73,Landscapes,4-Mar,TONE
112,Animals_067_h,Animals_067_h.jpg,2.96,Animals,3-Feb,TONE
