trial,ID,filename,Valence,Category,val_bin,condition
1,Objects_205_h,Objects_205_h.jpg,6.51,Objects,7-Jun,FEEL
2,Objects_125_h,Objects_125_h.jpg,2.02,Objects,3-Feb,TONE
3,Animals_161_h,Animals_161_h.jpg,7.48,Animals,8-Jul,TONE
4,1019,1019.jpg,8.69,Snake,9-Aug,TONE
5,9920,9920.jpg,1.9,CarAccident,2-Jan,FEEL
6,9921,9921.jpg,1.83,Fire,2-Jan,FEEL
7,Faces_305_h,Faces_305_h.jpg,4.93,Faces,5-Apr,FEEL
8,Animals_062_h,Animals_062_h.jpg,2.49,Animals,3-Feb,FEEL
9,Animals_214_h,Animals_214_h.jpg,6.33,Animals,7-Jun,TONE
10,Faces_177_v,Faces_177_v.jpg,4.47,Faces,5-Apr,TONE
11,Faces_340_h,Faces_340_h.jpg,7.29,Faces,8-Jul,FEEL
12,Faces_278_h,Faces_278_h.jpg,4.46,Faces,5-Apr,FEEL
13,Faces_274_h,Faces_274_h.jpg,3.4,Faces,4-Mar,FEEL
14,Faces_199_v,Faces_199_v.jpg,6.32,Faces,7-Jun,TONE
15,People_084_h,People_084_h.jpg,3.23,People,4-Mar,FEEL
16,Animals_187_h,Animals_187_h.jpg,7.87,Animals,8-Jul,FEEL
17,Animals_181_h,Animals_181_h.jpg,6.65,Animals,7-Jun,TONE
18,Objects_298_h,Objects_298_h.jpg,4.67,Objects,5-Apr,TONE
19,Objects_059_h,Objects_059_h.jpg,4.86,Objects,5-Apr,TONE
20,People_034_h,People_034_h.jpg,4.29,People,5-Apr,TONE
21,Landscapes_048_h,Landscapes_048_h.jpg,6.74,Landscapes,7-Jun,FEEL
22,Landscapes_037_v,Landscapes_037_v.jpg,5.87,Landscapes,6-May,TONE
23,Objects_004_h,Objects_004_h.jpg,3.05,Objects,4-Mar,FEEL
24,9926,9926.jpg,1.8,Flood,2-Jan,TONE
25,Faces_308_h,Faces_308_h.jpg,5.76,Faces,6-May,FEEL
26,Objects_137_h,Objects_137_h.jpg,3.87,Objects,4-Mar,TONE
27,1340,1340.jpg,8.13,Women,9-Aug,FEEL
28,Animals_175_h,Animals_175_h.jpg,7.4,Animals,8-Jul,FEEL
29,Objects_204_h,Objects_204_h.jpg,5.13,Objects,6-May,TONE
30,Faces_218_h,Faces_218_h.jpg,4.96,Faces,5-Apr,FEEL
31,Animals_010_h,Animals_010_h.jpg,4.59,Animals,5-Apr,TONE
32,9941,9941.jpg,1.66,Fire,2-Jan,TONE
33,Objects_196_h,Objects_196_h.jpg,5.09,Objects,6-May,FEEL
