ID,Valence,Category,val_bin,condition
Animals_052_v,4.04,Animals,4-5,TONE
Animals_116_h,7.02,Animals,7-8,FEEL
Animals_015_h,4.57,Animals,4-5,FEEL
Objects_183_h,6.69,Objects,6-7,FEEL
1200.0,8.32,Spider,8-9,FEEL
People_125_h,2.69,People,2-3,TONE
People_006_h,3.65,People,3-4,TONE
Objects_142_h,3.68,Objects,3-4,TONE
People_004_h,2.85,People,2-3,FEEL
People_167_h,6.29,People,6-7,FEEL
Objects_281_h,4.56,Objects,4-5,FEEL
Animals_141_h,4.93,Animals,4-5,FEEL
Objects_050_h,5.06,Objects,5-6,TONE
Objects_032_v,6.65,Objects,6-7,TONE
Objects_128_h,4.04,Objects,4-5,FEEL
People_016_h,2.45,People,2-3,TONE
1101.0,8.44,Snake,8-9,FEEL
Objects_277_h,4.59,Objects,4-5,FEEL
1590.0,8.02,Horse,8-9,TONE
Faces_039_h,4.91,Faces,4-5,TONE
People_020_h,2.43,People,2-3,FEEL
Animals_065_h,3.84,Animals,3-4,FEEL
Landscapes_092_h,6.12,Landscapes,6-7,TONE
Faces_041_h,3.02,Faces,3-4,FEEL
1122.0,8.33,Lizard,8-9,FEEL
Faces_366_h,2.11,Faces,2-3,TONE
Faces_126_h,6.98,Faces,6-7,FEEL
People_083_h,3.56,People,3-4,TONE
Objects_007_h,2.98,Objects,2-3,TONE
Faces_211_h,5.48,Faces,5-6,TONE
9922.0,1.83,Fire,1-2,TONE
Faces_170_h,2.74,Faces,2-3,FEEL
Landscapes_057_h,5.48,Landscapes,5-6,FEEL
Objects_063_v,6.98,Objects,6-7,TONE
Objects_313_h,5.46,Objects,5-6,TONE
Objects_184_v,4.18,Objects,4-5,TONE
Animals_023_h,4.36,Animals,4-5,TONE
Faces_023_h,4.67,Faces,4-5,FEEL
Objects_069_h,6.8,Objects,6-7,TONE
Faces_155_h,3.98,Faces,3-4,FEEL
Faces_156_h,4.61,Faces,4-5,FEEL
Landscapes_175_h,7.79,Landscapes,7-8,FEEL
Faces_200_h,5.57,Faces,5-6,TONE
People_002_v,2.96,People,2-3,TONE
1052.0,8.49,Snake,8-9,FEEL
People_003_h,2.6,People,2-3,FEEL
Animals_154_h,5.8,Animals,5-6,FEEL
Landscapes_177_h,3.15,Landscapes,3-4,TONE
Faces_194_h,5.23,Faces,5-6,FEEL
People_136_h,2.6,People,2-3,FEEL
People_131_h,4.28,People,4-5,TONE
Landscapes_159_h,4.7,Landscapes,4-5,TONE
Animals_041_h,3.52,Animals,3-4,TONE
People_068_h,7.11,People,7-8,TONE
9905.0,1.9700000000000006,CarAccident,1-2,TONE
Landscapes_130_h,5.66,Landscapes,5-6,TONE
Faces_247_h,6.41,Faces,6-7,FEEL
Animals_186_h,7.86,Animals,7-8,FEEL
Landscapes_061_h,4.98,Landscapes,4-5,TONE
People_233_h,2.47,People,2-3,FEEL
Animals_073_h,3.8,Animals,3-4,FEEL
People_009_h,2.7,People,2-3,FEEL
1040.0,8.52,Snake,8-9,TONE
People_246_h,1.96,People,1-2,FEEL
1303.0,8.18,Dog,8-9,FEEL
1450.0,8.09,Gannet,8-9,TONE
Animals_144_h,6.08,Animals,6-7,TONE
People_021_h,2.7,People,2-3,FEEL
Objects_029_h,5.96,Objects,5-6,FEEL
Faces_107_h,7.53,Faces,7-8,TONE
Faces_125_h,7.22,Faces,7-8,TONE
Faces_063_v,7.55,Faces,7-8,FEEL
Objects_255_v,6.13,Objects,6-7,TONE
Animals_140_h,7.21,Animals,7-8,TONE
1313.0,8.17,Frog,8-9,TONE
1113.0,8.379999999999999,Snake,8-9,TONE
People_241_h,2.52,People,2-3,TONE
Animals_026_h,5.35,Animals,5-6,TONE
Objects_127_h,3.66,Objects,3-4,FEEL
Landscapes_034_h,7.04,Landscapes,7-8,TONE
Objects_093_h,5.78,Objects,5-6,TONE
Objects_182_v,3.91,Objects,3-4,FEEL
9911.0,1.9499999999999993,CarAccident,1-2,FEEL
Objects_317_h,6.26,Objects,6-7,FEEL
Faces_131_v,7.27,Faces,7-8,FEEL
1280.0,8.2,Rat,8-9,TONE
Landscapes_096_h,7.89,Landscapes,7-8,FEEL
Objects_159_v,4.17,Objects,4-5,TONE
Animals_189_v,7.14,Animals,7-8,TONE
Landscapes_148_h,7.28,Landscapes,7-8,FEEL
Faces_260_h,7.14,Faces,7-8,TONE
1120.0,8.370000000000001,Snake,8-9,FEEL
Objects_148_h,3.39,Objects,3-4,TONE
Faces_332_v,6.91,Faces,6-7,TONE
Faces_119_v,5.58,Faces,5-6,FEEL
People_147_h,3.13,People,3-4,FEEL
Faces_196_h,5.75,Faces,5-6,FEEL
Faces_165_v,3.94,Faces,3-4,TONE
Animals_049_h,3.7,Animals,3-4,TONE
Faces_239_v,6.27,Faces,6-7,FEEL
9925.0,1.8100000000000005,Fire,1-2,TONE
Faces_179_v,6.9,Faces,6-7,TONE
Faces_025_h,3.75,Faces,3-4,FEEL
Landscapes_060_h,5.21,Landscapes,5-6,FEEL
Animals_208_h,7.41,Animals,7-8,TONE
Faces_314_h,6.49,Faces,6-7,FEEL
Objects_002_h,2.66,Objects,2-3,TONE
People_202_h,2.58,People,2-3,TONE
Faces_222_h,5.67,Faces,5-6,FEEL
Objects_057_h,4.94,Objects,4-5,FEEL
People_194_h,6.63,People,6-7,FEEL
Landscapes_081_h,5.48,Landscapes,5-6,TONE
