ID,Valence,Category,val_bin,condition
Objects_205_h,6.51,Objects,6-7,FEEL
Objects_125_h,2.02,Objects,2-3,TONE
Animals_161_h,7.48,Animals,7-8,TONE
1019.0,8.69,Snake,8-9,TONE
9920.0,1.9000000000000004,CarAccident,1-2,FEEL
9921.0,1.83,Fire,1-2,FEEL
Faces_305_h,4.93,Faces,4-5,FEEL
Animals_062_h,2.49,Animals,2-3,FEEL
Animals_214_h,6.33,Animals,6-7,TONE
Faces_177_v,4.47,Faces,4-5,TONE
Faces_340_h,7.29,Faces,7-8,FEEL
Faces_278_h,4.46,Faces,4-5,FEEL
Faces_274_h,3.4,Faces,3-4,FEEL
Faces_199_v,6.32,Faces,6-7,TONE
People_084_h,3.23,People,3-4,FEEL
Animals_187_h,7.87,Animals,7-8,FEEL
Animals_181_h,6.65,Animals,6-7,TONE
Objects_298_h,4.67,Objects,4-5,TONE
Objects_059_h,4.86,Objects,4-5,TONE
People_034_h,4.29,People,4-5,TONE
Landscapes_048_h,6.74,Landscapes,6-7,FEEL
Landscapes_037_v,5.87,Landscapes,5-6,TONE
Objects_004_h,3.05,Objects,3-4,FEEL
9926.0,1.8000000000000007,Flood,1-2,TONE
Faces_308_h,5.76,Faces,5-6,FEEL
Objects_137_h,3.87,Objects,3-4,TONE
1340.0,8.129999999999999,Women,8-9,FEEL
Animals_175_h,7.4,Animals,7-8,FEEL
Objects_204_h,5.13,Objects,5-6,TONE
Faces_218_h,4.96,Faces,4-5,FEEL
Animals_010_h,4.59,Animals,4-5,TONE
9941.0,1.6600000000000001,Fire,1-2,TONE
Objects_196_h,5.09,Objects,5-6,FEEL
Landscapes_002_h,2.8,Landscapes,2-3,FEEL
Landscapes_169_h,6.34,Landscapes,6-7,FEEL
Landscapes_065_h,6.47,Landscapes,6-7,TONE
Faces_160_v,4.45,Faces,4-5,FEEL
Faces_016_h,2.92,Faces,2-3,FEEL
People_243_h,2.84,People,2-3,TONE
Objects_106_v,3.94,Objects,3-4,FEEL
Faces_293_h,2.44,Faces,2-3,TONE
Objects_048_h,6.61,Objects,6-7,TONE
1440.0,8.1,Seal,8-9,FEEL
Faces_284_h,2.43,Faces,2-3,TONE
1390.0,8.120000000000001,Bees,8-9,TONE
1230.0,8.22,Spider,8-9,FEEL
People_219_h,3.54,People,3-4,TONE
People_163_v,6.02,People,6-7,TONE
People_133_h,3.0,People,2-3,FEEL
Objects_272_h,7.06,Objects,7-8,TONE
People_214_h,3.41,People,3-4,FEEL
Landscapes_003_v,4.06,Landscapes,4-5,FEEL
People_091_h,5.26,People,5-6,TONE
Objects_134_h,4.32,Objects,4-5,FEEL
1333.0,8.16,Parrots,8-9,FEEL
People_041_h,6.7,People,6-7,TONE
Objects_203_v,6.0,Objects,5-6,TONE
Faces_004_h,6.23,Faces,6-7,FEEL
Objects_166_h,5.83,Objects,5-6,FEEL
Objects_071_h,4.98,Objects,4-5,FEEL
Objects_115_h,4.74,Objects,4-5,TONE
Objects_316_h,5.95,Objects,5-6,FEEL
1505.0,8.06,DogRace,8-9,TONE
Objects_264_v,6.6,Objects,6-7,FEEL
1301.0,8.19,Dog,8-9,TONE
Objects_023_v,3.72,Objects,3-4,FEEL
Objects_212_h,3.76,Objects,3-4,FEEL
People_192_h,7.17,People,7-8,TONE
Landscapes_121_h,7.74,Landscapes,7-8,FEEL
People_140_h,2.42,People,2-3,TONE
Objects_068_v,5.24,Objects,5-6,FEEL
Animals_125_h,6.99,Animals,6-7,FEEL
Faces_320_v,5.06,Faces,5-6,TONE
Faces_022_h,4.76,Faces,4-5,TONE
Faces_354_v,7.41,Faces,7-8,TONE
People_222_h,2.17,People,2-3,FEEL
People_170_v,4.12,People,4-5,FEEL
People_001_h,2.69,People,2-3,FEEL
Faces_002_v,7.88,Faces,7-8,FEEL
1271.0,8.21,Roaches,8-9,TONE
Objects_096_v,7.46,Objects,7-8,TONE
Faces_103_h,6.92,Faces,6-7,TONE
People_090_v,3.4,People,3-4,TONE
People_120_h,3.36,People,3-4,TONE
1070.0,8.48,Snake,8-9,FEEL
Faces_208_h,5.56,Faces,5-6,FEEL
1121.0,8.34,Lizard,8-9,TONE
Landscapes_165_h,8.22,Landscapes,8-9,FEEL
Animals_032_h,2.96,Animals,2-3,TONE
Landscapes_151_h,7.48,Landscapes,7-8,TONE
Animals_029_v,3.1,Animals,3-4,FEEL
People_117_h,3.94,People,3-4,TONE
Animals_039_h,2.46,Animals,2-3,FEEL
Faces_116_h,7.57,Faces,7-8,TONE
Animals_016_h,2.67,Animals,2-3,FEEL
People_141_h,4.15,People,4-5,TONE
Landscapes_176_h,7.51,Landscapes,7-8,FEEL
Faces_318_v,6.06,Faces,6-7,FEEL
People_155_h,5.36,People,5-6,FEEL
Animals_218_h,5.77,Animals,5-6,FEEL
Animals_068_h,2.56,Animals,2-3,TONE
Objects_160_h,5.41,Objects,5-6,TONE
Objects_283_h,2.62,Objects,2-3,TONE
Objects_176_v,5.15,Objects,5-6,TONE
Faces_035_h,3.65,Faces,3-4,TONE
Faces_358_h,7.49,Faces,7-8,FEEL
Landscapes_044_h,5.13,Landscapes,5-6,TONE
Faces_133_h,7.4,Faces,7-8,TONE
People_230_h,3.43,People,3-4,TONE
9927.0,1.7899999999999991,Flood,1-2,TONE
Objects_173_h,3.76,Objects,3-4,TONE
Animals_114_h,6.84,Animals,6-7,FEEL
