trial,ID,filename,Valence,Category,val_bin,condition
83,Landscapes_059_v,Landscapes_059_v.jpg,7,Landscapes,7-Jun,FEEL
84,Objects_062_h,Objects_062_h.jpg,5.85,Objects,6-May,FEEL
85,Animals_176_h,Animals_176_h.jpg,6.46,Animals,7-Jun,FEEL
86,Faces_012_v,Faces_012_v.jpg,3.7,Faces,4-Mar,TONE
87,People_135_h,People_135_h.jpg,4.62,People,5-Apr,TONE
88,Faces_132_h,Faces_132_h.jpg,6.85,Faces,7-Jun,FEEL
89,Faces_372_h,Faces_372_h.jpg,3.76,Faces,4-Mar,TONE
90,People_221_h,People_221_h.jpg,1.88,People,2-Jan,TONE
91,1275,1275.jpg,8.2,Roaches,9-Aug,FEEL
92,Faces_235_v,Faces_235_v.jpg,7.4,Faces,8-Jul,TONE
93,People_085_h,People_085_h.jpg,3.17,People,4-Mar,TONE
94,Landscapes_046_h,Landscapes_046_h.jpg,5.91,Landscapes,6-May,TONE
95,Animals_182_h,Animals_182_h.jpg,7.09,Animals,8-Jul,FEEL
96,Faces_075_v,Faces_075_v.jpg,6.55,Faces,7-Jun,FEEL
97,Objects_187_h,Objects_187_h.jpg,4.73,Objects,5-Apr,TONE
98,Objects_318_h,Objects_318_h.jpg,3.96,Objects,4-Mar,TONE
99,1274,1274.jpg,8.21,Roaches,9-Aug,TONE
100,Landscapes_166_h,Landscapes_166_h.jpg,7.56,Landscapes,8-Jul,FEEL
101,Objects_135_h,Objects_135_h.jpg,3.92,Objects,4-Mar,TONE
102,Objects_065_h,Objects_065_h.jpg,5.15,Objects,6-May,TONE
103,People_030_h,People_030_h.jpg,7.38,People,8-Jul,FEEL
104,Animals_088_h,Animals_088_h.jpg,5.54,Animals,6-May,FEEL
105,Faces_362_v,Faces_362_v.jpg,2.53,Faces,3-Feb,TONE
106,Landscapes_015_h,Landscapes_015_h.jpg,4.59,Landscapes,5-Apr,TONE
107,Animals_057_h,Animals_057_h.jpg,2.92,Animals,3-Feb,TONE
108,People_104_h,People_104_h.jpg,5.38,People,6-May,FEEL
109,Faces_291_h,Faces_291_h.jpg,3.08,Faces,4-Mar,FEEL
110,Objects_228_h,Objects_228_h.jpg,4.55,Objects,5-Apr,TONE
111,Faces_230_h,Faces_230_h.jpg,6,Faces,6-May,TONE
112,Animals_138_h,Animals_138_h.jpg,5.51,Animals,6-May,TONE
