trial,ID,filename,Valence,Category,val_bin,condition
1,Animals_052_v,Animals_052_v.jpg,4.04,Animals,5-Apr,TONE
2,Animals_116_h,Animals_116_h.jpg,7.02,Animals,8-Jul,FEEL
3,Animals_015_h,Animals_015_h.jpg,4.57,Animals,5-Apr,FEEL
4,Objects_183_h,Objects_183_h.jpg,6.69,Objects,7-Jun,FEEL
5,1200,1200.jpg,8.32,Spider,9-Aug,FEEL
6,People_125_h,People_125_h.jpg,2.69,People,3-Feb,TONE
7,People_006_h,People_006_h.jpg,3.65,People,4-Mar,TONE
8,Objects_142_h,Objects_142_h.jpg,3.68,Objects,4-Mar,TONE
9,People_004_h,People_004_h.jpg,2.85,People,3-Feb,FEEL
10,People_167_h,People_167_h.jpg,6.29,People,7-Jun,FEEL
11,Objects_281_h,Objects_281_h.jpg,4.56,Objects,5-Apr,FEEL
12,Animals_141_h,Animals_141_h.jpg,4.93,Animals,5-Apr,FEEL
13,Objects_050_h,Objects_050_h.jpg,5.06,Objects,6-May,TONE
14,Objects_032_v,Objects_032_v.jpg,6.65,Objects,7-Jun,TONE
15,Objects_128_h,Objects_128_h.jpg,4.04,Objects,5-Apr,FEEL
16,People_016_h,People_016_h.jpg,2.45,People,3-Feb,TONE
17,1101,1101.jpg,8.44,Snake,9-Aug,FEEL
18,Objects_277_h,Objects_277_h.jpg,4.59,Objects,5-Apr,FEEL
19,1590,1590.jpg,8.02,Horse,9-Aug,TONE
20,Faces_039_h,Faces_039_h.jpg,4.91,Faces,5-Apr,TONE
21,People_020_h,People_020_h.jpg,2.43,People,3-Feb,FEEL
22,Animals_065_h,Animals_065_h.jpg,3.84,Animals,4-Mar,FEEL
23,Landscapes_092_h,Landscapes_092_h.jpg,6.12,Landscapes,7-Jun,TONE
24,Faces_041_h,Faces_041_h.jpg,3.02,Faces,4-Mar,FEEL
25,1122,1122.jpg,8.33,Lizard,9-Aug,FEEL
26,Faces_366_h,Faces_366_h.jpg,2.11,Faces,3-Feb,TONE
27,Faces_126_h,Faces_126_h.jpg,6.98,Faces,7-Jun,FEEL
28,People_083_h,People_083_h.jpg,3.56,People,4-Mar,TONE
29,Objects_007_h,Objects_007_h.jpg,2.98,Objects,3-Feb,TONE
30,Faces_211_h,Faces_211_h.jpg,5.48,Faces,6-May,TONE
31,9922,9922.jpg,1.83,Fire,2-Jan,TONE
32,Faces_170_h,Faces_170_h.jpg,2.74,Faces,3-Feb,FEEL
33,Landscapes_057_h,Landscapes_057_h.jpg,5.48,Landscapes,6-May,FEEL
34,Objects_063_v,Objects_063_v.jpg,6.98,Objects,7-Jun,TONE
35,Objects_313_h,Objects_313_h.jpg,5.46,Objects,6-May,TONE
36,Objects_184_v,Objects_184_v.jpg,4.18,Objects,5-Apr,TONE
37,Animals_023_h,Animals_023_h.jpg,4.36,Animals,5-Apr,TONE
38,Faces_023_h,Faces_023_h.jpg,4.67,Faces,5-Apr,FEEL
39,Objects_069_h,Objects_069_h.jpg,6.8,Objects,7-Jun,TONE
40,Faces_155_h,Faces_155_h.jpg,3.98,Faces,4-Mar,FEEL
41,Faces_156_h,Faces_156_h.jpg,4.61,Faces,5-Apr,FEEL
42,Landscapes_175_h,Landscapes_175_h.jpg,7.79,Landscapes,8-Jul,FEEL
43,Faces_200_h,Faces_200_h.jpg,5.57,Faces,6-May,TONE
44,People_002_v,People_002_v.jpg,2.96,People,3-Feb,TONE
45,1052,1052.jpg,8.49,Snake,9-Aug,FEEL
46,People_003_h,People_003_h.jpg,2.6,People,3-Feb,FEEL
47,Animals_154_h,Animals_154_h.jpg,5.8,Animals,6-May,FEEL
48,Landscapes_177_h,Landscapes_177_h.jpg,3.15,Landscapes,4-Mar,TONE
49,Faces_194_h,Faces_194_h.jpg,5.23,Faces,6-May,FEEL
50,People_136_h,People_136_h.jpg,2.6,People,3-Feb,FEEL
51,People_131_h,People_131_h.jpg,4.28,People,5-Apr,TONE
52,Landscapes_159_h,Landscapes_159_h.jpg,4.7,Landscapes,5-Apr,TONE
53,Animals_041_h,Animals_041_h.jpg,3.52,Animals,4-Mar,TONE
54,People_068_h,People_068_h.jpg,7.11,People,8-Jul,TONE
55,9905,9905.jpg,1.97,CarAccident,2-Jan,TONE
56,Landscapes_130_h,Landscapes_130_h.jpg,5.66,Landscapes,6-May,TONE
57,Faces_247_h,Faces_247_h.jpg,6.41,Faces,7-Jun,FEEL
58,Animals_186_h,Animals_186_h.jpg,7.86,Animals,8-Jul,FEEL
59,Landscapes_061_h,Landscapes_061_h.jpg,4.98,Landscapes,5-Apr,TONE
60,People_233_h,People_233_h.jpg,2.47,People,3-Feb,FEEL
61,Animals_073_h,Animals_073_h.jpg,3.8,Animals,4-Mar,FEEL
62,People_009_h,People_009_h.jpg,2.7,People,3-Feb,FEEL
63,1040,1040.jpg,8.52,Snake,9-Aug,TONE
64,People_246_h,People_246_h.jpg,1.96,People,2-Jan,FEEL
65,1303,1303.jpg,8.18,Dog,9-Aug,FEEL
66,1450,1450.jpg,8.09,Gannet,9-Aug,TONE
67,Animals_144_h,Animals_144_h.jpg,6.08,Animals,7-Jun,TONE
68,People_021_h,People_021_h.jpg,2.7,People,3-Feb,FEEL
69,Objects_029_h,Objects_029_h.jpg,5.96,Objects,6-May,FEEL
70,Faces_107_h,Faces_107_h.jpg,7.53,Faces,8-Jul,TONE
71,Faces_125_h,Faces_125_h.jpg,7.22,Faces,8-Jul,TONE
72,Faces_063_v,Faces_063_v.jpg,7.55,Faces,8-Jul,FEEL
