valence_bin,condition_1,condition_2,n1,n2,statistic,p_value,stars
negative,off stim,dorsal stim,12,9,-1.2792042981336627,0.2008251226951454,
negative,off stim,ventral stim,12,10,-0.1318760946791574,0.895082297146429,
negative,off stim,normative,12,31,-0.7581425055034353,0.4483656760111334,
negative,dorsal stim,ventral stim,9,10,1.510518674716293,0.1309111278962908,
negative,dorsal stim,normative,9,31,2.1862527353480155,0.028797120000868762,*
negative,ventral stim,normative,10,31,-0.4553825555391872,0.6488340430106418,
neutral,off stim,dorsal stim,18,18,0.07909649964604158,0.9369558676699575,
neutral,off stim,ventral stim,18,19,0.3190619908679511,0.7496795053676073,
neutral,off stim,normative,18,55,-1.3886311527171202,0.1649449392772404,
neutral,dorsal stim,ventral stim,18,19,0.2279014220485365,0.819722877178247,
neutral,dorsal stim,normative,18,55,-1.3758327089132758,0.16887343227931229,
neutral,ventral stim,normative,19,55,-1.8993728504115202,0.05751547054335343,
positive,off stim,dorsal stim,18,18,0.3954824982302079,0.692486835516168,
positive,off stim,ventral stim,18,19,0.455802844097073,0.6485317587589641,
positive,off stim,normative,18,55,-3.4683782708418396,0.0005236096850309585,***
positive,dorsal stim,ventral stim,18,19,0.1215474250925528,0.903257453334987,
positive,dorsal stim,normative,18,55,-4.172292680053283,3.015499391029641e-05,***
positive,ventral stim,normative,19,55,-3.7183162315873735,0.00020055511060586994,***
