valence_bin,condition_1,condition_2,n1,n2,statistic,p_value,stars
negative,off stim,dorsal stim,12,11,0.21541010921383227,0.8294475889935782,
negative,off stim,ventral stim,12,10,-1.120946804772838,0.26231050622385277,
negative,off stim,normative,12,33,0.5133270023393454,0.6077225986268686,
negative,dorsal stim,ventral stim,11,10,-1.2323128828841783,0.2178322292372723,
negative,dorsal stim,normative,11,33,0.1084154170908989,0.9136661721480056,
negative,ventral stim,normative,10,33,1.9836105322874378,0.04729927416708194,*
neutral,off stim,dorsal stim,18,20,-0.862440385651912,0.38844522485622457,
neutral,off stim,ventral stim,18,19,-0.6381239817359022,0.523392976636277,
neutral,off stim,normative,18,57,-2.0716988150553237,0.038293537924985535,*
neutral,dorsal stim,ventral stim,20,19,0.3371708921694098,0.7359880785526582,
neutral,dorsal stim,normative,20,57,-0.8364180424287874,0.4029197659409234,
neutral,ventral stim,normative,19,57,-1.1575995398268486,0.2470274971501918,
positive,off stim,dorsal stim,18,20,0.8478227519967948,0.3965366901532017,
positive,off stim,ventral stim,18,19,0.3190619908679511,0.7496795053676073,
positive,off stim,normative,18,57,-2.6361437017919536,0.00838542115054781,**
positive,dorsal stim,ventral stim,20,19,-0.7445857202074467,0.45652220312468594,
positive,dorsal stim,normative,20,57,-4.884913706129238,1.0347416215106075e-06,***
positive,ventral stim,normative,19,57,-4.240533029313896,2.2298961776985065e-05,***
