trial,ID,filename,Category,Valence,val_bin,condition
1,People_184_h,People_184_h.jpg,People,5.91,5-6,FEEL
2,Animals_012_h,Animals_012_h.jpg,Animals,3.62,3-4,TONE
3,Landscapes_107_h,Landscapes_107_h.jpg,Landscapes,6.79,6-7,TONE
4,Faces_023_h,Faces_023_h.jpg,Faces,4.67,4-5,FEEL
5,Faces_135_h,Faces_135_h.jpg,Faces,7.35,7-8,FEEL
6,People_128_h,People_128_h.jpg,People,2.23,2-3,TONE
7,Landscapes_115_v,Landscapes_115_v.jpg,Landscapes,6.71,6-7,FEEL
8,People_165_v,People_165_v.jpg,People,6.06,6-7,FEEL
9,Faces_145_v,Faces_145_v.jpg,Faces,2.29,2-3,TONE
10,People_060_v,People_060_v.jpg,People,4.27,4-5,TONE
11,Faces_264_h,Faces_264_h.jpg,Faces,5.18,5-6,TONE
12,Objects_160_h,Objects_160_h.jpg,Objects,5.41,5-6,TONE
13,Objects_286_h,Objects_286_h.jpg,Objects,4.33,4-5,TONE
14,Landscapes_029_v,Landscapes_029_v.jpg,Landscapes,3.3,3-4,TONE
15,People_177_h,People_177_h.jpg,People,6.43,6-7,FEEL
16,Faces_009_h,Faces_009_h.jpg,Faces,2.48,2-3,FEEL
17,Landscapes_090_h,Landscapes_090_h.jpg,Landscapes,7.06,7-8,TONE
18,Animals_209_h,Animals_209_h.jpg,Animals,5.65,5-6,TONE
19,Faces_133_h,Faces_133_h.jpg,Faces,7.4,7-8,FEEL
20,Landscapes_046_h,Landscapes_046_h.jpg,Landscapes,5.91,5-6,TONE
21,People_140_h,People_140_h.jpg,People,2.42,2-3,TONE
22,Animals_062_h,Animals_062_h.jpg,Animals,2.49,2-3,FEEL
23,Objects_013_h,Objects_013_h.jpg,Objects,3.47,3-4,FEEL
24,Animals_038_h,Animals_038_h.jpg,Animals,2.96,2-3,TONE
25,Objects_272_h,Objects_272_h.jpg,Objects,7.06,7-8,FEEL
26,Animals_027_h,Animals_027_h.jpg,Animals,2.55,2-3,FEEL
27,Landscapes_159_h,Landscapes_159_h.jpg,Landscapes,4.7,4-5,FEEL
28,People_063_h,People_063_h.jpg,People,6.05,6-7,FEEL
29,People_242_v,People_242_v.jpg,People,2.86,2-3,FEEL
30,Animals_086_v,Animals_086_v.jpg,Animals,4.45,4-5,TONE
31,Landscapes_123_h,Landscapes_123_h.jpg,Landscapes,8.15,8-9,FEEL
32,People_213_v,People_213_v.jpg,People,2.85,2-3,TONE
33,Animals_083_h,Animals_083_h.jpg,Animals,5.23,5-6,FEEL
34,Faces_303_h,Faces_303_h.jpg,Faces,3.15,3-4,TONE
35,Animals_143_h,Animals_143_h.jpg,Animals,4.24,4-5,FEEL
36,Animals_058_h,Animals_058_h.jpg,Animals,5.02,5-6,TONE
37,Objects_295_h,Objects_295_h.jpg,Objects,5.71,5-6,TONE
38,Objects_094_v,Objects_094_v.jpg,Objects,6.45,6-7,FEEL
39,Landscapes_118_v,Landscapes_118_v.jpg,Landscapes,3.08,3-4,FEEL
40,Faces_087_h,Faces_087_h.jpg,Faces,6.54,6-7,FEEL
41,Animals_118_h,Animals_118_h.jpg,Animals,6.79,6-7,TONE
42,Faces_291_h,Faces_291_h.jpg,Faces,3.08,3-4,FEEL
43,Faces_216_h,Faces_216_h.jpg,Faces,4.91,4-5,FEEL
44,People_075_v,People_075_v.jpg,People,2.75,2-3,FEEL
45,Animals_187_h,Animals_187_h.jpg,Animals,7.87,7-8,FEEL
46,Landscapes_183_h,Landscapes_183_h.jpg,Landscapes,8.31,8-9,TONE
47,Objects_310_h,Objects_310_h.jpg,Objects,5.28,5-6,FEEL
48,Faces_095_h,Faces_095_h.jpg,Faces,6.94,6-7,TONE
49,Faces_192_h,Faces_192_h.jpg,Faces,5.43,5-6,FEEL
50,Landscapes_116_v,Landscapes_116_v.jpg,Landscapes,8.05,8-9,TONE
51,People_104_h,People_104_h.jpg,People,5.38,5-6,FEEL
52,Landscapes_042_h,Landscapes_042_h.jpg,Landscapes,5.98,5-6,FEEL
53,Objects_199_v,Objects_199_v.jpg,Objects,6.32,6-7,TONE
54,Faces_079_h,Faces_079_h.jpg,Faces,7.67,7-8,TONE
55,People_226_h,People_226_h.jpg,People,1.81,1-2,FEEL
56,Landscapes_067_h,Landscapes_067_h.jpg,Landscapes,4.98,4-5,TONE
57,Objects_216_h,Objects_216_h.jpg,Objects,4.61,4-5,FEEL
58,People_012_h,People_012_h.jpg,People,3.16,3-4,TONE
59,Objects_244_h,Objects_244_h.jpg,Objects,5.07,5-6,FEEL
60,Animals_024_h,Animals_024_h.jpg,Animals,2.44,2-3,FEEL
61,Objects_198_h,Objects_198_h.jpg,Objects,6.02,6-7,TONE
62,Faces_172_h,Faces_172_h.jpg,Faces,2.45,2-3,FEEL
63,Animals_191_h,Animals_191_h.jpg,Animals,7.22,7-8,FEEL
64,People_238_h,People_238_h.jpg,People,1.33,1-2,TONE
65,People_096_h,People_096_h.jpg,People,7.78,7-8,TONE
66,Objects_100_v,Objects_100_v.jpg,Objects,7.05,7-8,TONE
67,People_244_v,People_244_v.jpg,People,3.56,3-4,TONE
68,Animals_039_h,Animals_039_h.jpg,Animals,2.46,2-3,TONE
69,People_028_h,People_028_h.jpg,People,5.48,5-6,TONE
70,Landscapes_004_h,Landscapes_004_h.jpg,Landscapes,3.1,3-4,FEEL
71,Animals_188_h,Animals_188_h.jpg,Animals,7.22,7-8,FEEL
72,Animals_065_h,Animals_065_h.jpg,Animals,3.84,3-4,TONE
73,Objects_022_h,Objects_022_h.jpg,Objects,3.04,3-4,FEEL
74,Objects_190_h,Objects_190_h.jpg,Objects,7.2,7-8,FEEL
75,People_169_h,People_169_h.jpg,People,7.58,7-8,TONE
76,Animals_159_h,Animals_159_h.jpg,Animals,7.2,7-8,FEEL
77,Faces_032_h,Faces_032_h.jpg,Faces,2.63,2-3,FEEL
78,Landscapes_003_v,Landscapes_003_v.jpg,Landscapes,4.06,4-5,TONE
79,People_020_h,People_020_h.jpg,People,2.43,2-3,TONE
80,Landscapes_008_h,Landscapes_008_h.jpg,Landscapes,7.4,7-8,TONE
81,People_135_h,People_135_h.jpg,People,4.62,4-5,TONE
82,Landscapes_082_v,Landscapes_082_v.jpg,Landscapes,6.45,6-7,FEEL
83,Faces_371_v,Faces_371_v.jpg,Faces,1.73,1-2,TONE
84,Faces_272_h,Faces_272_h.jpg,Faces,3.66,3-4,TONE
85,Objects_151_h,Objects_151_h.jpg,Objects,3.82,3-4,FEEL
86,Landscapes_178_h,Landscapes_178_h.jpg,Landscapes,7.69,7-8,TONE
87,Faces_287_h,Faces_287_h.jpg,Faces,3.13,3-4,TONE
88,Faces_251_v,Faces_251_v.jpg,Faces,5.71,5-6,FEEL
89,Landscapes_096_h,Landscapes_096_h.jpg,Landscapes,7.89,7-8,TONE
90,Landscapes_014_h,Landscapes_014_h.jpg,Landscapes,3.33,3-4,FEEL
91,People_180_h,People_180_h.jpg,People,7.06,7-8,TONE
92,People_116_h,People_116_h.jpg,People,7.67,7-8,FEEL
93,Faces_322_v,Faces_322_v.jpg,Faces,6.8,6-7,TONE
94,People_214_h,People_214_h.jpg,People,3.41,3-4,TONE
95,Objects_122_h,Objects_122_h.jpg,Objects,4.08,4-5,FEEL
96,Faces_018_h,Faces_018_h.jpg,Faces,2.41,2-3,TONE
97,Landscapes_129_v,Landscapes_129_v.jpg,Landscapes,5.82,5-6,TONE
98,Objects_070_v,Objects_070_v.jpg,Objects,6.35,6-7,FEEL
99,Animals_113_h,Animals_113_h.jpg,Animals,6.92,6-7,TONE
100,Animals_133_h,Animals_133_h.jpg,Animals,4.85,4-5,FEEL
101,People_201_v,People_201_v.jpg,People,1.87,1-2,FEEL
102,Animals_221_h,Animals_221_h.jpg,Animals,3.63,3-4,FEEL
103,Animals_124_v,Animals_124_v.jpg,Animals,6.37,6-7,TONE
104,People_076_h,People_076_h.jpg,People,4.43,4-5,TONE
105,Objects_088_h,Objects_088_h.jpg,Objects,3.55,3-4,FEEL
106,People_061_h,People_061_h.jpg,People,4.76,4-5,FEEL
107,Animals_025_h,Animals_025_h.jpg,Animals,2.65,2-3,FEEL
108,Faces_010_h,Faces_010_h.jpg,Faces,2.24,2-3,TONE
109,Faces_045_h,Faces_045_h.jpg,Faces,5.97,5-6,TONE
110,Faces_241_v,Faces_241_v.jpg,Faces,6.68,6-7,TONE
111,Objects_181_h,Objects_181_h.jpg,Objects,4.34,4-5,TONE
112,Faces_218_h,Faces_218_h.jpg,Faces,4.96,4-5,TONE
